,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK125135682,ydeNM,1,2361312,,,,,,2361312,2364233
1,ECK125135647,ydbK-ompN,1,2510045,,,,,,2510045,2515131
2,ECK125135688,ydeI,1,2319310,,,,,,2319310,2319764
3,ECK125140834,patZ,-1,1190309,,,,,,1187627,1190309
4,ECK125135568,phoQ,1,2721228,,,,,,2721228,2722852
5,ECK125135744,msrB,1,2054224,,,,,,2054224,2054672
6,ECK125136335,yciT,1,2582118,,,,,,2582118,2583031
7,ECK125136337,araFGH,1,1930542,,,,,,1930542,1934136
8,ECK125136338,ppk-ppx,-1,1286093,,,,,,1282414,1286093
9,ECK125160640,leuE,1,2035888,,,,,,2035888,2036567
10,ECK125135560,bhsA,-1,2740552,,,,,,2740241,2740552
11,ECK125135007,kdsC-lptCAB,-1,543690,,,,,,540740,543690
12,ECK125135064,mhpR-lacI,1,3588503,,,,,,3588503,3590611
13,ECK125135012,cbpAM,1,2846087,,,,,,2846087,2847365
14,ECK125135011,plsB,1,4377407,,,,,,4377407,4379866
15,ECK125135010,arrS,1,236601,,,,,,236601,236669
16,ECK125135009,yjbEFGH,-1,4394179,,,,,,4390320,4394179
17,ECK125135008,lptAB,-1,543690,,,,,,542320,543690
18,ECK125160639,frr,-1,3806295,,,,,,3805611,3806295
19,ECK125135006,kdsC-lptCAB,-1,543690,,,,,,541031,543690
20,ECK125140830,sdiA,1,1919834,,,,,,1919834,1920581
21,ECK125136340,gpmM-envC-yibQ,-1,99519,,,,,,95646,99519
22,ECK125140835,shiA,-1,1853382,,,,,,1851989,1853382
23,ECK125140833,metH,-1,4406412,,,,,,4402406,4406412
24,ECK125135065,dgkA,-1,4376904,,,,,,4376356,4376904
25,ECK125136341,csrA,1,1104690,,,,,,1104690,1105102
26,ECK125203407,accBC,-1,487640,,,,,,485510,487640
27,ECK125136343,csrA,1,1104874,,,,,,1104874,1105102
28,ECK125199572,relA,1,1007006,,,,,,1007006,1009289
29,ECK125158026,ycjY-ymjDC-mpaA,1,2534557,,,,,,2534557,2536760
30,ECK125230243,thyA,1,955450,,,,,,955450,956384
31,ECK125230245,sdiA,1,1919798,,,,,,1919798,1920581
32,ECK125230242,lgt,1,954583,,,,,,954583,955638
33,ECK125230240,yqaE-kbp,1,1127085,,,,,,1127085,1127833
34,ECK125203409,yajG-ampG,1,3505435,,,,,,3505435,3507575
35,ECK125203408,fabI,1,2575510,,,,,,2575510,2576380
36,ECK125203406,accA,-1,3790213,,,,,,3788959,3790213
37,ECK125203405,panD,1,3852829,,,,,,3852829,3853269
38,ECK125203404,ascB,-1,1081648,,,,,,1080176,1081648
39,ECK125203403,yibN-grxC-secB-gpsA,1,103384,,,,,,103384,105937
40,ECK125203402,metG,-1,1698631,,,,,,1696023,1698631
41,ECK125199573,relA,1,1006388,,,,,,1006388,1009289
42,ECK125160643,cbpAM,1,2845878,,,,,,2845878,2847365
43,ECK125160642,agrB,-1,245072,,,,,,244982,245072
44,ECK125160641,agrA,-1,245309,,,,,,245225,245309
45,ECK125135788,sdiA,1,1919794,,,,,,1919794,1920581
46,ECK125140829,sdiA,1,1919824,,,,,,1919824,1920581
47,ECK125140828,sdiA,1,1919774,,,,,,1919774,1920581
48,ECK125140827,ddpXABCDF,1,2380625,,,,,,2380625,2386762
49,ECK125140826,ddpXABCDF,1,2380673,,,,,,2380673,2386762
50,ECK125140825,azoR,1,2468439,,,,,,2468439,2469088
51,ECK125140764,rybA-mntS,1,3093336,,,,,,3093336,3093675
52,ECK125138146,csrA,1,1104693,,,,,,1104693,1105102
53,ECK125136342,csrA,1,1104865,,,,,,1104865,1105102
54,ECK125158025,tatABC,-1,4608122,,,,,,4606494,4608122
55,ECK120009227,katG,-1,4495813,,,,,,4493610,4495813
56,ECK125158023,ilvL,-1,4679515,,,,,,4679334,4679515
57,ECK120009231,malEFG,1,4387445,,,,,,4387445,4391370
58,ECK120009232,malPQ,1,342501,,,,,,342501,347025
59,ECK120009233,melR,1,4292818,,,,,,4292818,4293748
60,ECK120009234,metA,-1,4418200,,,,,,4417224,4418200
61,ECK120009235,metH,-1,4406412,,,,,,4402684,4406412
62,ECK120009236,nagBAC-umpH,1,3252662,,,,,,3252662,3256796
63,ECK120009237,narGHJI,-1,2639028,,,,,,2632256,2639028
64,ECK120009238,narK,-1,2646259,,,,,,2644843,2646259
65,ECK120009239,nirBDC-cysG,-1,395728,,,,,,390513,395728
66,ECK120009240,nrdAB-yfaE,-1,1547752,,,,,,1543739,1547752
67,ECK120009241,ompA,1,2890169,,,,,,2890169,2891347
68,ECK120009242,ompC,1,1583690,,,,,,1583690,1584937
69,ECK120009244,oxyR,-1,4472667,,,,,,4471717,4472667
70,ECK120009245,phoA-psiF,-1,3556042,,,,,,3554148,3556042
71,ECK120009246,phoBR,-1,3540401,,,,,,3538257,3540401
72,ECK120009247,hflD-purB,1,2718482,,,,,,2718482,2720552
73,ECK120009248,purC,1,1314959,,,,,,1314959,1315835
74,ECK120009249,purHD,1,4425648,,,,,,4425648,4428633
75,ECK120009250,purL,1,1217334,,,,,,1217334,1221267
76,ECK120009251,purMN,-1,1289876,,,,,,1288157,1289876
77,ECK120009252,purR,-1,2177822,,,,,,2176642,2177822
78,ECK120009253,pyrC,1,2787266,,,,,,2787266,2788348
79,ECK120009255,recA,1,1100244,,,,,,1100244,1101393
80,ECK125230247,rplU-rpmA-yhbE-obgE,1,554844,,,,,,554844,557778
81,ECK120009254,pyrD,-1,2904582,,,,,,2903536,2904582
82,ECK120009230,lexA-dinF,-1,4374788,,,,,,4372754,4374788
83,ECK120009229,lacZYA,1,3590696,,,,,,3590696,3595899
84,ECK120009243,ompF,1,2923266,,,,,,2923266,2924527
85,ECK120009018,fadD-sroD,1,2026882,,,,,,2026882,2028672
86,ECK125158022,ilvL,-1,4679515,,,,,,4679262,4679515
87,ECK125158021,bglG,1,4723290,,,,,,4723290,4724351
88,ECK125158020,tnaC,-1,4741486,,,,,,4741388,4741486
89,ECK125158019,ivbL,1,28344,,,,,,28344,28532
90,ECK125158018,gntK,1,314514,,,,,,314514,315153
91,ECK125158017,hisL,-1,1805234,,,,,,1805059,1805234
92,ECK125158016,trpL,1,2603519,,,,,,2603519,2603652
93,ECK125158015,sucAB,-1,3192354,,,,,,3187974,3192354
94,ECK125158014,leuL,1,3915846,,,,,,3915846,3916007
95,ECK125158013,yfeCD,-1,1391880,,,,,,1391082,1391880
96,ECK125158012,ssrA,-1,1157061,,,,,,1156692,1157061
97,ECK125158011,bluF,1,2710866,,,,,,2710866,2712108
98,ECK125146693,fumAC,1,2228052,,,,,,2228052,2231307
99,ECK125145765,dksA-gluQ,1,3839042,,,,,,3839042,3840607
100,ECK125145764,ibaG-murA,1,551526,,,,,,551526,553124
101,ECK125145763,yhjX,1,182611,,,,,,182611,183855
102,ECK125145760,esrE,-1,4611430,,,,,,4611179,4611430
103,ECK125145759,rmf,-1,2894436,,,,,,2894169,2894436
104,ECK125142007,gapA,-1,2052922,,,,,,2051396,2052922
105,ECK125142006,gapA,-1,2052922,,,,,,2051403,2052922
106,ECK125142005,fumC,1,2229838,,,,,,2229838,2231307
107,ECK125141553,leuLABCD,1,3915557,,,,,,3915557,3920733
108,ECK125141551,leuO,-1,3914269,,,,,,3913111,3914269
109,ECK120009013,opgGH,-1,2796352,,,,,,2792049,2796352
110,ECK120009014,bamC,1,1313726,,,,,,1313726,1314937
111,ECK125145777,cspI,1,2284092,,,,,,2284092,2284349
112,ECK120008997,yeaGH,-1,2046450,,,,,,2043027,2046450
113,ECK125241000,rseD-rpoE-rseABC,1,1202584,,,,,,1202584,1205601
114,ECK120009010,fepDGC,1,3335044,,,,,,3335044,3337852
115,ECK120009011,csiE,-1,1246208,,,,,,1244894,1246208
116,ECK120009012,csiD-lhgO-gabDTP,-1,1128517,,,,,,1121792,1128517
117,ECK120008977,exbD,1,743177,,,,,,743177,744015
118,ECK120008975,treR,1,4123221,,,,,,4123221,4124284
119,ECK120008938,dnaN-recF,1,1044,,,,,,1044,3629
120,ECK120008954,asr,-1,2244772,,,,,,2244379,2244772
121,ECK120008939,dnaN-recF,1,1187,,,,,,1187,3629
122,ECK120008940,dnaN-recF,1,1215,,,,,,1215,3629
123,ECK120008941,dnaN-recF,1,1429,,,,,,1429,3629
124,ECK120008942,gdhA,-1,2072976,,,,,,2071570,2072976
125,ECK120008943,sugE,-1,4219884,,,,,,4219486,4219884
126,ECK120008945,uof-fur,1,3245476,,,,,,3245476,3246187
127,ECK120008946,fldA-uof-fur,1,3244784,,,,,,3244784,3246187
128,ECK120008947,fur,1,3245582,,,,,,3245582,3246187
129,ECK120008948,cbl,1,1847400,,,,,,1847400,1848377
130,ECK120008949,ftsAZ,-1,3893125,,,,,,3890230,3893125
131,ECK120008950,fliLMNOPQR,-1,1893440,,,,,,1889356,1893440
132,ECK120008951,dctA,1,211156,,,,,,211156,212493
133,ECK120008952,flxA,-1,2276067,,,,,,2275718,2276067
134,ECK120008953,nanATEK-yhcH,1,522077,,,,,,522077,526683
135,ECK120008955,fxsA,-1,4227934,,,,,,4227397,4227934
136,ECK120008974,treR,1,4123289,,,,,,4123289,4124284
137,ECK120008956,pth-ychF,1,2667065,,,,,,2667065,2668886
138,ECK120008957,ychF,1,2667725,,,,,,2667725,2668886
139,ECK120009009,ftsQ,-1,3895596,,,,,,3894353,3895596
140,ECK120009008,sra,1,2387828,,,,,,2387828,2388048
141,ECK120009007,proP,-1,4302464,,,,,,4300867,4302464
142,ECK120009006,nhaAR,-1,3982681,,,,,,3980378,3982681
143,ECK120009328,flhDC,1,1937519,,,,,,1937519,1938713
144,ECK120009256,rhaSR,-1,4535806,,,,,,4534023,4535806
145,ECK120008937,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,1,465990,,,,,,465990,471570
146,ECK120008994,argR,-1,510524,,,,,,509953,510524
147,ECK120008978,fhuE,1,2748260,,,,,,2748260,2750582
148,ECK120008979,gyrB,1,3627,,,,,,3627,6245
149,ECK120008980,sufABCDSE,1,2152273,,,,,,2152273,2157817
150,ECK120008981,micF,-1,1583344,,,,,,1583252,1583344
151,ECK120008983,metJ,1,4503270,,,,,,4503270,4503750
152,ECK120008984,metJ,1,4503299,,,,,,4503299,4503750
153,ECK120008985,metJ,1,4503362,,,,,,4503362,4503750
154,ECK120008986,amiA-hemF,-1,1362252,,,,,,1360369,1362252
155,ECK120008961,gabDTP,-1,1128517,,,,,,1124036,1128517
156,ECK120008987,hemF,-1,1362252,,,,,,1361333,1362252
157,ECK120008989,cydAB,-1,3181139,,,,,,3178160,3181139
158,ECK120008990,cydAB,-1,3181139,,,,,,3178171,3181139
159,ECK120008991,cydAB,-1,3181139,,,,,,3178326,3181139
160,ECK120008993,bacA,1,691733,,,,,,691733,692598
161,ECK120008996,argT-hisJQMP,1,1473074,,,,,,1473074,1477187
162,ECK120008976,mgrB,1,2007121,,,,,,2007121,2007290
163,ECK120008998,yhdWXYZ,-1,471747,,,,,,467524,471747
164,ECK120008999,ddpXABCDF,1,2380767,,,,,,2380767,2386762
165,ECK120009002,rutABCDEFG,1,2835706,,,,,,2835706,2841221
166,ECK120009003,acs-yjcH-actP,1,4346254,,,,,,4346254,4350597
167,ECK120009004,acs-yjcH-actP,1,4346458,,,,,,4346458,4350597
