locus_tag,Unnamed: 0,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
ECK120008913,0,astCADBE,-1.0,1832013.0,Sigma70,1832022.0,1832027.0,1832047.0,1832052.0,1825955.0,1832013.0
ECK120008914,1,astCADBE,-1.0,1832044.0,Sigma54,1832054.0,1832058.0,1832065.0,1832070.0,1825955.0,1832044.0
ECK120008915,2,astCADBE,-1.0,1832039.0,Sigma38,1832046.0,1832056.0,1832070.0,1832075.0,1825955.0,1832039.0
ECK120008916,3,nrdHIEF,1.0,2800656.0,Sigma70,2800644.0,2800649.0,2800621.0,2800626.0,2800656.0,2804461.0
ECK120008917,4,cpxPQ,1.0,4105785.0,Sigma70,4105772.0,4105777.0,4105746.0,4105751.0,4105785.0,4106379.0
ECK120008918,5,srkA-dsbA,1.0,4042391.0,Sigma70,4042378.0,4042383.0,4042353.0,4042358.0,4042391.0,4044044.0
ECK120008919,6,dsbA,1.0,4043377.0,Sigma70,4043364.0,4043369.0,4043342.0,4043347.0,4043377.0,4044044.0
ECK120008920,7,aqpZ,-1.0,,,,,,,915352.0,916047.0
ECK120008921,8,dmsABC,1.0,940878.0,Sigma70,940867.0,940873.0,940845.0,940851.0,940878.0,944896.0
ECK120008922,9,moaABCDE,1.0,816914.0,Sigma70,816902.0,816908.0,816878.0,816884.0,816914.0,819747.0
ECK120008923,10,ptsG,1.0,1157766.0,Sigma70,1157750.0,1157756.0,1157728.0,1157734.0,1157766.0,1159302.0
ECK120008924,11,ptsG,1.0,1157626.0,Sigma70,1157615.0,1157620.0,,,1157626.0,1159302.0
ECK120008925,12,grcA,-1.0,2716523.0,Sigma70,2716529.0,2716534.0,,,2716066.0,2716523.0
ECK120008926,13,ldcC,1.0,,Sigma38,,,,,209679.0,211820.0
ECK120008927,14,rrsA-ileT-alaT-rrlA-rrfA,1.0,4035239.0,"Sigma32, Sigma70",4035232.0,4035237.0,4035212.0,4035217.0,4035239.0,4040636.0
ECK120008928,16,rrsB-gltT-rrlB-rrfB,1.0,4166367.0,"Sigma32, Sigma70",4166360.0,4166365.0,4166340.0,4166345.0,4166367.0,4171962.0
ECK120008929,18,rrsC-gltU-rrlC-rrfC,1.0,3941516.0,"Sigma32, Sigma70",3941509.0,3941514.0,3941489.0,3941494.0,3941516.0,3947067.0
ECK120008930,20,rrsC-gltU-rrlC-rrfC,1.0,3941633.0,Sigma70,3941621.0,3941626.0,3941599.0,3941604.0,3941633.0,3947067.0
ECK120008931,21,rrsE-gltV-rrlE-rrfE,1.0,4207863.0,"Sigma32, Sigma70",4207846.0,4207851.0,4207827.0,4207832.0,4207863.0,4213209.0
ECK120008932,23,rrsG-gltW-rrlG-rrfG,-1.0,2731448.0,"Sigma32, Sigma70",2731450.0,2731455.0,2731470.0,2731475.0,2726069.0,2731448.0
ECK120008933,25,rrsG-gltW-rrlG-rrfG,-1.0,2731332.0,Sigma70,2731339.0,2731344.0,2731361.0,2731366.0,2726069.0,2731332.0
ECK120008934,26,rrsH-ileV-alaV-rrlH-rrfH,1.0,223485.0,"Sigma32, Sigma70",223471.0,223476.0,,,223485.0,228875.0
ECK120008935,28,rrsH-ileV-alaV-rrlH-rrfH,1.0,223593.0,Sigma70,223581.0,223586.0,,,223593.0,228875.0
ECK120008936,29,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,-1.0,3429047.0,"Sigma32, Sigma70",3429059.0,3429064.0,3429076.0,3429081.0,3423371.0,3429047.0
ECK120008937,31,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,-1.0,3428940.0,Sigma70,3428947.0,3428952.0,3428969.0,3428974.0,3423371.0,3428940.0
ECK120008938,32,dnaN-recF,-1.0,3882733.0,"Sigma38, Sigma70",3882739.0,3882749.0,3882764.0,3882769.0,3880148.0,3882733.0
ECK120008939,34,dnaN-recF,-1.0,3882590.0,"Sigma38, Sigma70",3882596.0,3882606.0,3882620.0,3882625.0,3880148.0,3882590.0
ECK120008940,36,dnaN-recF,-1.0,3882562.0,Sigma70,3882566.0,3882571.0,3882589.0,3882594.0,3880148.0,3882562.0
ECK120008941,37,dnaN-recF,-1.0,3882348.0,"Sigma70, Sigma38",3882356.0,3882361.0,3882382.0,3882387.0,3880148.0,3882348.0
ECK120008942,39,gdhA,1.0,1842308.0,Sigma70,1842294.0,1842299.0,1842269.0,1842274.0,1842308.0,1843714.0
ECK120008943,40,sugE,1.0,4376794.0,,,,,,4376794.0,4377192.0
ECK120008944,41,chpSB,1.0,4448428.0,Sigma70,4448418.0,4448423.0,4448397.0,4448402.0,4448428.0,4449042.0
ECK120008945,42,uof-fur,-1.0,710829.0,Sigma70,710834.0,710840.0,710858.0,710864.0,710118.0,710829.0
ECK120008946,43,fldA-uof-fur,-1.0,711521.0,Sigma70,711528.0,711534.0,711558.0,711564.0,710118.0,711521.0
ECK120008947,44,fur,-1.0,710723.0,Sigma70,710724.0,710729.0,710745.0,710750.0,710118.0,710723.0
ECK120008948,45,cbl,-1.0,2060941.0,Sigma70,2060946.0,2060951.0,2060970.0,2060975.0,2059964.0,2060941.0
ECK120008949,46,ftsAZ,1.0,103561.0,Sigma70,103548.0,103553.0,103525.0,103530.0,103561.0,106456.0
ECK120008950,47,fliLMNOPQR,1.0,2019595.0,Sigma28,2019581.0,2019588.0,2019562.0,2019566.0,2019595.0,2023678.0
ECK120008951,48,dctA,-1.0,3683498.0,Sigma70,3683505.0,3683510.0,3683528.0,3683533.0,3682161.0,3683498.0
ECK120008952,49,flxA,1.0,1646388.0,Sigma28,1646374.0,1646381.0,1646355.0,1646359.0,1646388.0,1646737.0
ECK120008953,50,nanATEK-yhcH,-1.0,3373620.0,Sigma70,3373627.0,3373632.0,3373652.0,3373657.0,3369014.0,3373620.0
ECK120008954,51,asr,1.0,1671327.0,"Sigma38, Sigma70",1671316.0,1671326.0,1671299.0,1671304.0,1671327.0,1671720.0
ECK120008955,53,fxsA,1.0,4368603.0,Sigma32,4368587.0,4368592.0,4368569.0,4368574.0,4368603.0,4369140.0
ECK120008956,54,pth-ychF,-1.0,1258542.0,Sigma70,1258550.0,1258555.0,1258573.0,1258578.0,1256721.0,1258542.0
ECK120008957,55,ychF,-1.0,1257882.0,Sigma70,1257889.0,1257894.0,1257915.0,1257920.0,1256721.0,1257882.0
ECK120008958,56,cusCFBA,1.0,595573.0,Sigma70,595561.0,595566.0,595534.0,595539.0,595573.0,601857.0
ECK120008959,57,cusRS,-1.0,595462.0,Sigma70,595469.0,595474.0,595491.0,595496.0,593328.0,595462.0
ECK120008960,58,iscRSUA,-1.0,2662199.0,Sigma70,2662207.0,2662212.0,2662230.0,2662235.0,2659563.0,2662199.0
ECK120008961,59,gabDTP,1.0,2791172.0,"Sigma70, Sigma38",2791159.0,2791164.0,2791135.0,2791140.0,2791172.0,2795653.0
ECK120008962,61,glcDEFGBA,-1.0,3128076.0,Sigma70,3128085.0,3128090.0,3128108.0,3128113.0,3119597.0,3128076.0
ECK120008963,62,glcC,1.0,3128206.0,Sigma70,3128194.0,3128199.0,3128169.0,3128174.0,3128206.0,3129036.0
ECK120008964,63,osmY,1.0,4611153.0,"Sigma70, Sigma38",4611140.0,4611145.0,4611113.0,4611118.0,4611153.0,4612001.0
ECK120008965,65,rlmL-uup,1.0,1007672.0,Sigma70,1007659.0,1007665.0,1007637.0,1007643.0,1007672.0,1011871.0
ECK120008966,66,gcd,-1.0,141263.0,Sigma70,141269.0,141274.0,141293.0,141298.0,138801.0,141263.0
ECK120008967,67,ybjC-nfsA-rimK-ybjN,1.0,890892.0,Sigma70,890880.0,890885.0,890855.0,890860.0,890892.0,893433.0
ECK120008968,68,rimK-ybjN,1.0,891876.0,Sigma70,891864.0,891869.0,891841.0,891846.0,891876.0,893433.0
ECK120008969,69,gadX,-1.0,3665839.0,Sigma38,3665849.0,3665859.0,3665871.0,3665876.0,3664915.0,3665839.0
ECK120008970,70,metNIQ,-1.0,222714.0,Sigma70,222722.0,222727.0,222745.0,222750.0,220113.0,222714.0
ECK120008971,71,serA,-1.0,3058549.0,Sigma70,3058551.0,3058556.0,3058575.0,3058580.0,3057178.0,3058549.0
ECK120008972,72,mhpABCDFE,1.0,368519.0,Sigma70,368508.0,368513.0,368482.0,368487.0,368519.0,374881.0
ECK120008973,73,treR,-1.0,4467275.0,Sigma70,4467281.0,4467286.0,4467303.0,4467308.0,4466284.0,4467275.0
ECK120008974,74,treR,-1.0,4467279.0,Sigma70,,,,,4466284.0,4467279.0
ECK120008975,75,treR,-1.0,4467347.0,Sigma70,4467351.0,4467356.0,4467376.0,4467381.0,4466284.0,4467347.0
ECK120008976,76,mgrB,-1.0,1908792.0,Sigma70,1908798.0,1908804.0,1908817.0,1908823.0,1908623.0,1908792.0
ECK120008977,77,exbD,-1.0,3151390.0,Sigma70,3151394.0,3151400.0,3151414.0,3151420.0,3150552.0,3151390.0
ECK120008978,78,fhuE,-1.0,1161647.0,Sigma70,1161654.0,1161660.0,1161677.0,1161683.0,1159325.0,1161647.0
ECK120008979,79,gyrB,-1.0,3880150.0,"Sigma70, Sigma38",3880158.0,3880163.0,3880185.0,3880190.0,3877532.0,3880150.0
ECK120008980,81,sufABCDSE,-1.0,1764418.0,Sigma70,1764425.0,1764430.0,1764447.0,1764452.0,1758874.0,1764418.0
ECK120008981,82,micF,1.0,2313084.0,"Sigma38, Sigma70",2313071.0,2313076.0,2313045.0,2313050.0,2313084.0,2313176.0
ECK120008982,83,flu,1.0,2071317.0,Sigma70,2071306.0,2071311.0,2071283.0,2071288.0,2071317.0,2074658.0
ECK120008983,84,metJ,-1.0,4128558.0,Sigma70,4128563.0,4128569.0,4128587.0,4128593.0,4128078.0,4128558.0
ECK120008984,85,metJ,-1.0,4128529.0,Sigma70,4128537.0,4128542.0,4128560.0,4128565.0,4128078.0,4128529.0
ECK120008985,86,metJ,-1.0,4128466.0,Sigma70,4128473.0,4128478.0,4128496.0,4128501.0,4128078.0,4128466.0
ECK120008986,87,amiA-hemF,1.0,2552241.0,Sigma70,2552231.0,2552236.0,2552205.0,2552210.0,2552241.0,2554124.0
ECK120008987,88,hemF,1.0,2553205.0,Sigma70,2553195.0,2553200.0,2553173.0,2553178.0,2553205.0,2554124.0
ECK120008988,89,chiA,-1.0,3469896.0,Sigma70,3469903.0,3469908.0,3469926.0,3469931.0,3467160.0,3469896.0
ECK120008989,90,cydAB,1.0,771202.0,Sigma70,771192.0,771197.0,771171.0,771176.0,771202.0,774181.0
ECK120008990,91,cydAB,1.0,771213.0,Sigma70,771201.0,771206.0,771177.0,771182.0,771213.0,774181.0
ECK120008991,92,cydAB,1.0,771368.0,Sigma70,771357.0,771362.0,771336.0,771341.0,771368.0,774181.0
ECK120008992,93,rrsB-gltT-rrlB-rrfB,1.0,4166484.0,Sigma70,4166472.0,4166477.0,4166450.0,4166455.0,4166484.0,4171962.0
ECK120008993,94,bacA,-1.0,3204175.0,Sigma24,3204181.0,3204185.0,3204202.0,3204207.0,3203310.0,3204175.0
ECK120008994,95,argR,1.0,3384602.0,Sigma70,3384590.0,3384596.0,3384570.0,3384576.0,3384602.0,3385173.0
ECK120008995,96,asnW,-1.0,,,,,,,2057926.0,2058102.0
ECK120008996,97,argT-hisJQMP,-1.0,2427849.0,Sigma54,2427859.0,2427863.0,2427870.0,2427875.0,2423736.0,2427849.0
ECK120008997,98,yeaGH,1.0,1866815.0,Sigma54,1866801.0,1866805.0,1866789.0,1866794.0,1866815.0,1870238.0
ECK120008998,99,yhdWXYZ,1.0,3418972.0,Sigma54,,,,,3418972.0,3423194.0
ECK120008999,100,ddpXABCDF,-1.0,1563107.0,Sigma54,1563120.0,1563124.0,1563131.0,1563136.0,1557112.0,1563107.0
ECK120009001,101,ydcSTUV-patD,1.0,,,,,,,1511654.0,1517002.0
ECK120009002,102,rutABCDEFG,-1.0,1074026.0,Sigma54,1074039.0,1074043.0,1074050.0,1074055.0,1068511.0,1074026.0
ECK120009003,103,acs-yjcHG,-1.0,4287595.0,Sigma70,4287604.0,4287609.0,4287631.0,4287636.0,4283253.0,4287595.0
ECK120009004,104,acs-yjcHG,-1.0,4287391.0,"Sigma70, Sigma38",4287397.0,4287404.0,4287413.0,4287421.0,4283253.0,4287391.0
ECK120009005,106,metBL,1.0,4128636.0,Sigma70,4128623.0,4128628.0,4128600.0,4128605.0,4128636.0,4132456.0
ECK120009006,107,nhaAR,1.0,17317.0,Sigma38,17303.0,17313.0,17286.0,17291.0,17317.0,19620.0
ECK120009007,108,proP,1.0,4330407.0,Sigma38,4330390.0,4330400.0,4330372.0,4330377.0,4330407.0,4332004.0
