,b0150,b0151,b0152,b1252,b3005,b3006
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001,0.001
kEscape,0.1,0.1,0.1,0.1,0.10523708882714307,0.1
KeqOpening,0.8347664265020527,0.23728301188809398,0.2959558993252818,0.8051106764654605,0.9577031044745308,0.6896649895238985
KdRNAPCrp,1.160156250000078e-05,1.1499023437500782e-05,2.982421875000073e-05,5.830078125000796e-06,4.533691406250801e-06,3.2006835937508047e-06
