,b1002,b1620,b4118,b4357
RNAP,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001
kEscape,10.0,0.1,0.1,0.1
KeqOpening,0.0019629274505595326,0.6835959401578846,0.1315890249610503,0.11330459126334869
KdRNAPCrp,9.3246459960996e-08,6.216796875000065e-05,3.878173828125802e-06,5.903320312500798e-06
