"gene","iM","Val"
"b1061","DNA Damage",-7.55331338345928
"b4043","DNA Damage",-7.47857341692194
"b0779","DNA Damage",-7.9921181526262
"b0060","DNA Damage",-7.57791358126504
"b1741","DNA Damage",-7.51877742872108
"b4044","DNA Damage",-6.35410146901307
"b2616","DNA Damage",-7.23246324917282
"b2699","DNA Damage",-7.57577359399677
"b1184","DNA Damage",-6.99128494200763
"b1183","DNA Damage",-6.53118045459448
"b4058","DNA Damage",-7.24633200907343
"b0231","DNA Damage",-7.40168508969895
"b1728","DNA Damage",-6.39072198034777
