,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK120009345,hypABCDE,-1,1989199,,,,,,1985505,1989199
1,ECK120009346,proP,-1,379755,,,,,,378071,379755
2,ECK120009347,narXL,1,3516591,,,,,,3516591,3519189
3,ECK120009349,ndh,-1,3613317,,,,,,3611920,3613317
4,ECK120009350,fumB,1,364411,,,,,,364411,366128
5,ECK120009351,aspA,1,343327,,,,,,343327,344915
6,ECK120009352,fruBKA,1,2523193,,,,,,2523193,2527071
7,ECK120009353,ppsA,1,3025334,,,,,,3025334,3027761
8,ECK120009354,fepA-entD,1,4400128,,,,,,4400128,4403336
9,ECK120009355,fepB,1,4388068,,,,,,4388068,4389241
10,ECK120009357,entCEBAH,-1,4383082,,,,,,4378200,4383082
11,ECK120009358,tonB,-1,3485251,,,,,,3484459,3485251
12,ECK120009359,mglBAC,1,2546170,,,,,,2546170,2549993
13,ECK120009360,gatYZABCD,1,2610355,,,,,,2610355,2615754
14,ECK120009344,hycABCDEFGHI,1,1993059,,,,,,1993059,2001043
15,ECK120009338,nupC,-1,2297215,,,,,,2295980,2297215
16,ECK120009320,fucPIKUR,-1,1900015,,,,,,1894035,1900015
17,ECK120009337,cysDNC,1,1964264,,,,,,1964264,1967398
18,ECK120009336,cysPUWAM,1,2274320,,,,,,2274320,2279205
19,ECK120009325,srlAEBD-gutM-srlR-gutQ,-1,2015458,,,,,,2010471,2015458
20,ECK120009316,speC,1,1681685,,,,,,1681685,1683840
21,ECK120009317,tdcABCDEFG,1,1504535,,,,,,1504535,1513343
22,ECK120009318,ubiG,-1,2455656,,,,,,2454906,2455656
23,ECK120009356,fepDGC,1,4390561,,,,,,4390561,4393411
24,ECK120009361,gcvTHP,1,1744493,,,,,,1744493,1749138
25,ECK120009282,glnB,1,2136108,,,,,,2136108,2136541
26,ECK120009341,exuT,-1,1531883,,,,,,1530363,1531883
27,ECK120009285,fabA,1,3766295,,,,,,3766295,3766841
28,ECK120009260,trpLEDCBA,1,3473989,,,,,,3473989,3480714
29,ECK120009321,nupG,-1,1683890,,,,,,1682571,1683890
30,ECK120009283,ilvC,1,827607,,,,,,827607,829140
31,ECK120009262,uvrA,1,439050,,,,,,439050,441979
32,ECK120009263,uvrB,-1,4202020,,,,,,4199935,4202020
33,ECK120009264,uvrD,1,866050,,,,,,866050,868320
34,ECK120009265,ada-alkB,1,2478302,,,,,,2478302,2480038
35,ECK120009266,alkB,1,2479284,,,,,,2479284,2480038
36,ECK120009268,ansB,1,1690109,,,,,,1690109,1691206
37,ECK120009269,araE,1,1821042,,,,,,1821042,1822486
38,ECK120009270,cysB,-1,3464259,,,,,,3463173,3464259
39,ECK120009271,cysJIH,1,1948395,,,,,,1948395,1952780
40,ECK120009272,cysK,-1,2283493,,,,,,2282446,2283493
41,ECK120009273,fadL,-1,2341785,,,,,,2340344,2341785
42,ECK120009275,purEK,1,4452635,,,,,,4452635,4454250
43,ECK120009276,rpoH,1,1185699,,,,,,1185699,1186661
44,ECK120009277,rpoH,1,1185685,,,,,,1185685,1186661
45,ECK120009279,phoE,1,4722519,,,,,,4722519,4723632
46,ECK120009280,tyrB,-1,444645,,,,,,443387,444645
47,ECK120009281,tyrP,-1,2817985,,,,,,2816738,2817985
48,ECK120009312,cpdB,-1,4813696,,,,,,4811689,4813696
49,ECK120009313,fur,1,4301610,,,,,,4301610,4302208
50,ECK120009314,glgCAP,1,1217137,,,,,,1217137,1222443
51,ECK120009315,malK-lamB-malM,-1,462549,,,,,,458811,462549
52,ECK120009343,fdhF,1,413690,,,,,,413690,415919
53,ECK120009274,ilvIH,1,87275,,,,,,87275,89523
54,ECK120009193,mpl,1,4833598,,,,,,4833598,4834996
55,ECK120009323,melAB,-1,366969,,,,,,364066,366969
56,ECK120009201,aroF-tyrA,1,2082558,,,,,,2082558,2084847
57,ECK120009202,aroG,-1,4230751,,,,,,4229521,4230751
58,ECK120009203,aroH,-1,3022985,,,,,,3021793,3022985
59,ECK120009204,aroL-yaiA-aroM,-1,4599477,,,,,,4597652,4599477
60,ECK120009181,hcp-hcr,1,4066043,,,,,,4066043,4068706
61,ECK120009177,lepAB,1,2116397,,,,,,2116397,2119258
62,ECK120009258,ssb,-1,438325,,,,,,437675,438325
63,ECK120009176,yhfG-fic-pabA,1,1299922,,,,,,1299922,1301304
64,ECK120009152,deoBD,1,5000853,,,,,,5000853,5002968
65,ECK120009153,dnaQ,1,236626,,,,,,236626,237490
66,ECK120009154,dnaQ,1,236709,,,,,,236709,237490
67,ECK120009200,argR,-1,1391209,,,,,,1390713,1391209
68,ECK120009155,glnHPQ,1,4169513,,,,,,4169513,4171970
69,ECK120009157,ilvA,1,824930,,,,,,824930,826818
70,ECK120009158,umpH,1,4311842,,,,,,4311842,4312620
71,ECK120009159,pheLA,-1,2084819,,,,,,2083458,2084819
72,ECK120009160,pnp,1,1457874,,,,,,1457874,1460201
73,ECK120009161,rplT,1,3012733,,,,,,3012733,3013133
74,ECK120009163,rpsO-pnp,1,1457414,,,,,,1457414,1460201
75,ECK120009165,ptrA,1,1844241,,,,,,1844241,1847256
76,ECK120009166,rnhA,-1,236227,,,,,,235721,236227
77,ECK120009287,purA,1,4781399,,,,,,4781399,4782720
78,ECK120009167,uvrYC,1,2813472,,,,,,2813472,2816004
79,ECK120009168,valS,-1,4858487,,,,,,4855500,4858487
80,ECK120009156,hisBHAFI,-1,2720351,,,,,,2716489,2720351
81,ECK120009199,argI,-1,4854961,,,,,,4853924,4854961
82,ECK120009197,argCBH,-1,555870,,,,,,552532,555870
83,ECK120009196,araC,1,71928,,,,,,71928,72952
84,ECK120009324,malXY,-1,3111719,,,,,,3108903,3111719
85,ECK120009326,udp,1,887521,,,,,,887521,888322
86,ECK120009335,cynR,1,4647280,,,,,,4647280,4648199
87,ECK120009327,fucAO,1,1906260,,,,,,1906260,1908249
88,ECK120009328,flhDC,1,2829706,,,,,,2829706,2830901
89,ECK120009329,malS,-1,1044688,,,,,,1042538,1044688
90,ECK120009330,aldB,1,1027773,,,,,,1027773,1029402
91,ECK120009331,hns,1,3501940,,,,,,3501940,3502437
92,ECK120009332,gyrA,1,2456488,,,,,,2456488,2459152
93,ECK120009333,pck,-1,1257260,,,,,,1255499,1257260
94,ECK120009334,cynTSX,-1,4644753,,,,,,4642290,4644753
95,ECK120009261,tyrR,-1,3410831,,,,,,3409222,3410831
96,ECK120009259,sulA,1,3761846,,,,,,3761846,3762383
97,ECK120009150,atpBEFHAGDC,-1,788199,,,,,,781573,788199
98,ECK120009179,rpoBC,-1,524483,,,,,,515933,524483
99,ECK120009182,uvrD,1,866114,,,,,,866114,868320
100,ECK120009183,uvrB,-1,4202020,,,,,,4199625,4202020
101,ECK120009186,galR,-1,1825620,,,,,,1824559,1825620
102,ECK120009187,lpxL,1,3664010,,,,,,3664010,3665057
103,ECK120009188,yceA,-1,3662860,,,,,,3661773,3662860
104,ECK120009189,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,91271,,,,,,91271,109149
105,ECK120009190,sohB,-1,3468752,,,,,,3467655,3468752
106,ECK120009191,sohB,-1,3468752,,,,,,3467672,3468752
107,ECK120009192,mpl,1,4833566,,,,,,4833566,4834996
108,ECK120009194,aceBAK,-1,495111,,,,,,490181,495111
109,ECK120009322,uhpT,-1,711856,,,,,,710434,711856
110,ECK120009311,crp,-1,1304778,,,,,,1303939,1304778
111,ECK120009006,nhaAR,1,17246,,,,,,17246,19549
112,ECK120009309,bioBFCD,-1,4204620,,,,,,4200975,4204620
113,ECK120008915,astCADBE,1,2979319,,,,,,2979319,2985403
114,ECK120008916,nrdHIEF,-1,2044116,,,,,,2040311,2044116
115,ECK120008917,cpxPQ,-1,646865,,,,,,646271,646865
116,ECK120008921,dmsABC,-1,4034918,,,,,,4030900,4034918
117,ECK120008922,moaABCDE,-1,4197820,,,,,,4194987,4197820
118,ECK120008923,ptsG,-1,3621412,,,,,,3619876,3621412
119,ECK120008924,ptsG,-1,3621412,,,,,,3619736,3621412
120,ECK120008925,grcA,1,2107247,,,,,,2107247,2107704
121,ECK120008927,rrsA-ileT-alaT-rrlA-rrfA,1,906180,,,,,,906180,911573
122,ECK120008929,rrsC-gltU-rrlC-rrfC,1,811209,,,,,,811209,816760
123,ECK120008930,rrsC-gltU-rrlC-rrfC,1,811326,,,,,,811326,816760
124,ECK120008914,astCADBE,1,2979314,,,,,,2979314,2985403
125,ECK120008932,rrsG-gltW-rrlG-rrfG,1,2092311,,,,,,2092311,2097700
126,ECK120008934,rrsH-ileV-alaV-rrlH-rrfH,1,223956,,,,,,223956,229346
127,ECK120008935,rrsH-ileV-alaV-rrlH-rrfH,1,224065,,,,,,224065,229346
128,ECK120008938,dnaN-recF,-1,746369,,,,,,743784,746369
129,ECK120008939,dnaN-recF,-1,746369,,,,,,743927,746369
130,ECK120008967,ybjC-nfsA-rimK-ybjN,-1,4086432,,,,,,4083891,4086432
131,ECK120008968,rimK-ybjN,-1,4086432,,,,,,4084875,4086432
132,ECK120008969,gadX,1,1125139,,,,,,1125139,1126063
133,ECK120008970,metNIQ,-1,220584,,,,,,217983,220584
134,ECK120008997,yeaGH,-1,2941117,,,,,,2937694,2941117
135,ECK120008998,yhdWXYZ,-1,1353278,,,,,,1349055,1353278
136,ECK120009002,rutABCDEFG,1,3709777,,,,,,3709777,3715292
137,ECK120008933,rrsG-gltW-rrlG-rrfG,1,2092428,,,,,,2092428,2097700
138,ECK120009833,phoH,-1,3697666,,,,,,3696509,3697666
139,ECK120008940,dnaN-recF,-1,746369,,,,,,743955,746369
140,ECK120009024,norVW,-1,2011191,,,,,,2008585,2011191
141,ECK120009028,rpiB,-1,397932,,,,,,397362,397932
142,ECK120009170,cstA,-1,4380705,,,,,,4378488,4380705
143,ECK120009027,mngAB,-1,4246833,,,,,,4242033,4246833
144,ECK120008942,gdhA,-1,2967644,,,,,,2966238,2967644
145,ECK120008944,chpSB,1,4826266,,,,,,4826266,4826880
146,ECK120008945,uof-fur,1,4301497,,,,,,4301497,4302208
147,ECK120008946,fldA-uof-fur,1,4300805,,,,,,4300805,4302208
148,ECK120008947,fur,1,4301603,,,,,,4301603,4302208
149,ECK120008948,cbl,1,2743823,,,,,,2743823,2744800
150,ECK120008950,fliLMNOPQR,-1,2782361,,,,,,2778277,2782361
151,ECK120008951,dctA,1,1107427,,,,,,1107427,1108764
152,ECK120008952,flxA,-1,3174741,,,,,,3174392,3174741
153,ECK120008953,nanATEK-yhcH,1,1402762,,,,,,1402762,1407368
154,ECK120008954,asr,-1,3142133,,,,,,3141740,3142133
155,ECK120008955,fxsA,-1,342619,,,,,,342082,342619
156,ECK120008956,pth-ychF,1,3537165,,,,,,3537165,3538986
157,ECK120008957,ychF,1,3537825,,,,,,3537825,3538986
158,ECK120008960,iscRSUA,1,2161098,,,,,,2161098,2163734
159,ECK120008961,gabDTP,-1,2052923,,,,,,2048443,2052923
160,ECK120008962,glcDEFGBA,1,1654830,,,,,,1654830,1663310
161,ECK120008963,glcC,-1,1653870,,,,,,1653040,1653870
162,ECK120008964,osmY,1,4992743,,,,,,4992743,4993591
163,ECK120008965,rlmL-uup,-1,3770922,,,,,,3766724,3770922
164,ECK120008943,sugE,-1,334508,,,,,,334110,334508
165,ECK120008941,dnaN-recF,-1,746369,,,,,,744169,746369
166,ECK120009003,acs-yjcH-actP,1,425391,,,,,,425391,429733
167,ECK120009310,cadC,1,349796,,,,,,349796,351363
168,ECK120009004,acs-yjcH-actP,1,425595,,,,,,425595,429733
169,ECK120009007,proP,-1,379755,,,,,,378158,379755
170,ECK120008986,amiA-hemF,-1,2264068,,,,,,2262185,2264068
171,ECK120008987,hemF,-1,2264068,,,,,,2263149,2264068
172,ECK120008989,cydAB,-1,4243263,,,,,,4240284,4243263
173,ECK120008990,cydAB,-1,4243263,,,,,,4240295,4243263
174,ECK120009147,tyrP,-1,2817985,,,,,,2816595,2817985
175,ECK120009148,aceEF,1,124528,,,,,,124528,129178
176,ECK120009149,atpBEFHAGDC,-1,788199,,,,,,781437,788199
177,ECK120009286,mtr,1,1463340,,,,,,1463340,1464627
178,ECK120009288,aidB,1,4790982,,,,,,4790982,4792635
179,ECK120009289,slp-dctR,-1,1135765,,,,,,1134488,1135765
180,ECK120009290,appCBXA,-1,3740878,,,,,,3736673,3740878
181,ECK120008985,metJ,1,585317,,,,,,585317,585705
182,ECK120009291,araFGH,1,2822639,,,,,,2822639,2826323
183,ECK120009293,cydAB,-1,4243263,,,,,,4240252,4243263
184,ECK120009294,cyoABCDE,1,4553773,,,,,,4553773,4558611
185,ECK120009296,fumA,1,3125413,,,,,,3125413,3127148
186,ECK120009297,fumC,1,3127144,,,,,,3127144,3128668
187,ECK120009298,gltA,1,4262396,,,,,,4262396,4264037
188,ECK120009299,icd,-1,3584232,,,,,,3582867,3584232
189,ECK120009300,mdh,1,1392069,,,,,,1392069,1393052
190,ECK120009303,argD,1,1301349,,,,,,1301349,1302610
191,ECK120009304,asnA,1,799820,,,,,,799820,800838
192,ECK120009307,betIBA,1,4684497,,,,,,4684497,4688281
193,ECK120009308,betT,-1,4682362,,,,,,4680287,4682362
